h_rule,h_no,t_rule,t_no,reference
V24,sum,V4,sum,0.68
V24,sum,V37,sum,0.778
V24,sum,V36,sum,0.906
V24,sum,V35,sum,0.674
V24,sum,V34,sum,0.708
V24,sum,V33,sum,0.642
V24,sum,V32,sum,0.654
V24,sum,V31,sum,0.752
V24,sum,V30,sum,0.946
V24,sum,V3,sum,0.844
V24,sum,V29,sum,0.86
V24,sum,V28,sum,0.844
V24,sum,V27,sum,0.914
V24,sum,V26,sum,0.938
V24,sum,V25,sum,0.908
V23,sum,V9,sum,0.8
V23,sum,V8,sum,0.8140000000000001
V23,sum,V7,sum,0.8160000000000001
V23,sum,V6,sum,0.844
V23,sum,V5,sum,0.8180000000000001
V23,sum,V4,sum,0.678
V23,sum,V37,sum,0.72
V23,sum,V36,sum,0.848
V23,sum,V35,sum,0.624
V23,sum,V34,sum,0.656
V23,sum,V33,sum,0.602
V23,sum,V32,sum,0.61
V23,sum,V31,sum,0.698
V23,sum,V30,sum,0.882
V23,sum,V3,sum,0.79
V23,sum,V29,sum,0.806
V23,sum,V28,sum,0.792
V23,sum,V27,sum,0.85
V23,sum,V26,sum,0.884
V23,sum,V25,sum,0.884
V23,sum,V24,sum,0.882
V22,sum,V9,sum,0.728
V22,sum,V8,sum,0.736
V22,sum,V7,sum,0.738
V22,sum,V6,sum,0.768
V22,sum,V5,sum,0.74
V22,sum,V4,sum,0.674
V22,sum,V37,sum,0.652
V22,sum,V36,sum,0.77
V22,sum,V35,sum,0.564
V22,sum,V34,sum,0.59
V22,sum,V33,sum,0.544
V22,sum,V32,sum,0.554
V22,sum,V31,sum,0.634
V22,sum,V30,sum,0.802
V22,sum,V3,sum,0.716
V22,sum,V29,sum,0.764
V22,sum,V28,sum,0.718
V22,sum,V27,sum,0.802
V22,sum,V26,sum,0.802
V22,sum,V25,sum,0.802
V22,sum,V24,sum,0.802
V22,sum,V23,sum,0.802
V21,sum,V9,sum,0.676
V21,sum,V8,sum,0.6779999999999999
V21,sum,V7,sum,0.678
V21,sum,V6,sum,0.71
V21,sum,V5,sum,0.6819999999999999
V21,sum,V4,sum,0.668
V21,sum,V37,sum,0.6
V21,sum,V36,sum,0.714
V21,sum,V35,sum,0.52
V21,sum,V34,sum,0.544
V21,sum,V33,sum,0.498
V21,sum,V32,sum,0.51
V21,sum,V31,sum,0.586
V21,sum,V30,sum,0.742
V21,sum,V3,sum,0.662
V21,sum,V29,sum,0.742
V21,sum,V28,sum,0.7
V21,sum,V27,sum,0.742
V21,sum,V26,sum,0.742
V21,sum,V25,sum,0.742
V21,sum,V24,sum,0.742
V21,sum,V23,sum,0.742
V21,sum,V22,sum,0.742
V20,sum,V9,sum,0.902
V20,sum,V8,sum,0.922
V20,sum,V7,sum,0.918
V20,sum,V6,sum,0.95
V20,sum,V5,sum,0.924
V20,sum,V4,sum,0.674
V20,sum,V37,sum,0.814
V20,sum,V36,sum,0.948
V20,sum,V35,sum,0.708
V20,sum,V34,sum,0.738
V20,sum,V33,sum,0.678
V20,sum,V32,sum,0.688
V20,sum,V31,sum,0.792
V20,sum,V30,sum,0.992
V20,sum,V3,sum,0.884
V20,sum,V29,sum,0.9
V20,sum,V28,sum,0.886
V20,sum,V27,sum,0.96
V20,sum,V26,sum,0.984
V20,sum,V25,sum,0.948
V20,sum,V24,sum,0.942
V20,sum,V23,sum,0.878
V20,sum,V22,sum,0.798
V20,sum,V21,sum,0.738
V2,sum,V9,sum,0.706
V2,sum,V8,sum,0.71
V2,sum,V7,sum,0.708
V2,sum,V6,sum,0.738
V2,sum,V5,sum,0.71
V2,sum,V4,sum,0.66
V2,sum,V37,sum,0.622
V2,sum,V36,sum,0.746
V2,sum,V35,sum,0.542
V2,sum,V34,sum,0.568
V2,sum,V33,sum,0.518
V2,sum,V32,sum,0.532
V2,sum,V31,sum,0.61
V2,sum,V30,sum,0.772
V2,sum,V3,sum,0.694
V2,sum,V29,sum,0.762
V2,sum,V28,sum,0.714
V2,sum,V27,sum,0.77
V2,sum,V26,sum,0.772
V2,sum,V25,sum,0.772
V2,sum,V24,sum,0.77
V2,sum,V23,sum,0.768
V2,sum,V22,sum,0.756
V2,sum,V21,sum,0.728
V2,sum,V20,sum,0.766
V19,sum,V9,sum,0.648
V19,sum,V8,sum,0.342
V19,sum,V7,sum,0.33
V19,sum,V6,sum,0.684
V19,sum,V5,sum,0.346
V19,sum,V4,sum,0.638
V19,sum,V37,sum,0.576
V19,sum,V36,sum,0.686
V19,sum,V35,sum,0.5
V19,sum,V34,sum,0.524
V19,sum,V33,sum,0.478
V19,sum,V32,sum,0.49
V19,sum,V31,sum,0.568
V19,sum,V30,sum,0.714
V19,sum,V3,sum,0.634
V19,sum,V29,sum,0.714
V19,sum,V28,sum,0.672
V19,sum,V27,sum,0.714
V19,sum,V26,sum,0.714
V19,sum,V25,sum,0.714
V19,sum,V24,sum,0.714
V19,sum,V23,sum,0.712
V19,sum,V22,sum,0.712
V19,sum,V21,sum,0.712
V19,sum,V20,sum,0.714
V19,sum,V2,sum,0.698
V18,sum,V9,sum,0.596
V18,sum,V8,sum,0.33
V18,sum,V7,sum,0.318
V18,sum,V6,sum,0.628
V18,sum,V5,sum,0.336
V18,sum,V4,sum,0.586
V18,sum,V37,sum,0.536
V18,sum,V36,sum,0.634
V18,sum,V35,sum,0.47
V18,sum,V34,sum,0.488
V18,sum,V33,sum,0.452
V18,sum,V32,sum,0.46
V18,sum,V31,sum,0.522
V18,sum,V30,sum,0.658
V18,sum,V3,sum,0.582
V18,sum,V29,sum,0.658
V18,sum,V28,sum,0.656
V18,sum,V27,sum,0.658
V18,sum,V26,sum,0.658
V18,sum,V25,sum,0.658
V18,sum,V24,sum,0.658
V18,sum,V23,sum,0.656
V18,sum,V22,sum,0.656
V18,sum,V21,sum,0.656
V18,sum,V20,sum,0.658
V18,sum,V2,sum,0.642
V18,sum,V19,sum,0.658
V17,sum,V9,sum,0.89
V17,sum,V8,sum,0.908
V17,sum,V7,sum,0.904
V17,sum,V6,sum,0.934
V17,sum,V5,sum,0.91
V17,sum,V4,sum,0.666
V17,sum,V37,sum,0.804
V17,sum,V36,sum,0.934
V17,sum,V35,sum,0.696
V17,sum,V34,sum,0.728
V17,sum,V33,sum,0.666
V17,sum,V32,sum,0.678
V17,sum,V31,sum,0.78
V17,sum,V30,sum,0.978
V17,sum,V3,sum,0.872
V17,sum,V29,sum,0.89
V17,sum,V28,sum,0.876
V17,sum,V27,sum,0.946
V17,sum,V26,sum,0.97
V17,sum,V25,sum,0.934
V17,sum,V24,sum,0.93
V17,sum,V23,sum,0.866
V17,sum,V22,sum,0.784
V17,sum,V21,sum,0.728
V17,sum,V20,sum,0.974
V17,sum,V2,sum,0.758
V17,sum,V19,sum,0.7
V17,sum,V18,sum,0.646
V16,sum,V9,sum,0.368
V16,sum,V6,sum,0.696
V16,sum,V37,sum,0.324
V16,sum,V36,sum,0.698
V16,sum,V31,sum,0.32
V16,sum,V30,sum,0.726
V16,sum,V3,sum,0.354
V16,sum,V29,sum,0.372
V16,sum,V28,sum,0.36
V16,sum,V27,sum,0.7
V16,sum,V26,sum,0.718
V16,sum,V25,sum,0.692
V16,sum,V24,sum,0.6859999999999999
V16,sum,V23,sum,0.348
V16,sum,V22,sum,0.312
V16,sum,V21,sum,0.3
V16,sum,V20,sum,0.722
V16,sum,V2,sum,0.304
V16,sum,V17,sum,0.708
V15,sum,V9,sum,0.63
V15,sum,V8,sum,0.326
V15,sum,V7,sum,0.32
V15,sum,V6,sum,0.658
V15,sum,V5,sum,0.336
V15,sum,V4,sum,0.674
V15,sum,V37,sum,0.554
V15,sum,V36,sum,0.662
V15,sum,V35,sum,0.48
V15,sum,V34,sum,0.502
V15,sum,V33,sum,0.46
V15,sum,V32,sum,0.47
V15,sum,V31,sum,0.542
V15,sum,V30,sum,0.69
V15,sum,V3,sum,0.618
V15,sum,V29,sum,0.688
V15,sum,V28,sum,0.65
V15,sum,V27,sum,0.69
V15,sum,V26,sum,0.69
V15,sum,V25,sum,0.69
V15,sum,V24,sum,0.69
V15,sum,V23,sum,0.69
V15,sum,V22,sum,0.688
V15,sum,V21,sum,0.684
V15,sum,V20,sum,0.684
V15,sum,V2,sum,0.672
V15,sum,V19,sum,0.654
V15,sum,V18,sum,0.602
V15,sum,V17,sum,0.676
V14,sum,V9,sum,0.908
V14,sum,V8,sum,0.8300000000000001
V14,sum,V7,sum,0.8360000000000001
V14,sum,V6,sum,0.954
V14,sum,V5,sum,0.8580000000000001
V14,sum,V4,sum,0.35
V14,sum,V37,sum,0.8180000000000001
V14,sum,V36,sum,0.954
V14,sum,V35,sum,0.436
V14,sum,V34,sum,0.462
V14,sum,V33,sum,0.416
V14,sum,V32,sum,0.422
V14,sum,V31,sum,0.794
V14,sum,V30,sum,0.998
V14,sum,V3,sum,0.89
V14,sum,V29,sum,0.906
V14,sum,V28,sum,0.892
V14,sum,V27,sum,0.966
V14,sum,V26,sum,0.99
V14,sum,V25,sum,0.954
V14,sum,V24,sum,0.9480000000000001
V14,sum,V23,sum,0.884
V14,sum,V22,sum,0.802
V14,sum,V21,sum,0.742
V14,sum,V20,sum,0.994
V14,sum,V2,sum,0.772
V14,sum,V19,sum,0.35
V14,sum,V18,sum,0.344
V14,sum,V17,sum,0.98
V14,sum,V15,sum,0.348
V13,sum,V9,sum,0.868
V13,sum,V8,sum,0.88
V13,sum,V7,sum,0.886
V13,sum,V6,sum,0.912
V13,sum,V5,sum,0.91
V13,sum,V4,sum,0.33
